timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-14 05:27:00,b'iPhone 12 Price Funny Memes Are Here to Crack Indians Up!  #iPhone12 #iPhone12Series #iPhone12mini #iPhone #AppleEvent #Apple #FunnyMemes #iPhone12Price  https://t.co/LxeXcki1Jg',b'latestly',"['iPhone12', 'iPhone12Series', 'iPhone12mini', 'iPhone', 'AppleEvent', 'Apple', 'FunnyMemes', 'iPhone12Price']",65498
2020-10-14 05:15:07,b'Apple iPhone 12 Pro announcement! https://t.co/jr9HEjr6mo @TechmashUK #TechmashUK #Apple #iPhone #iPhone12Pro #iOS #PreOrderiPhone12 #CeramicShield #5G #A14Bionic #MagSafe #LiDARScanner #DolbyVision https://t.co/t2etbxvFiS',b'TechmashDave',"['TechmashUK', 'Apple', 'iPhone', 'iPhone12Pro', 'iOS', 'PreOrderiPhone12', 'CeramicShield', '5G', 'A14Bionic', 'MagSafe', 'LiDARScanner', 'DolbyVision']",29160
2020-10-14 05:08:00,"b""Here's all of today's exciting new #iPhone news from the #AppleEvent - including sizes, pricing, and other features. https://t.co/1AkxaaxZ39""",b'cgtnamerica',"['iPhone', 'AppleEvent']",289436
2020-10-14 05:05:57,"b'| Apple Prime Day deals: $850 MacBook Air, $336 iPad Mini and more | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/112TeEqRsk'",b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 05:04:42,"b""@Apple's collection of new iPhones is its most diverse lineup yet, with four distinct models at a range of price points. But the minimum cost of entry may still be too steep for some. | ANALYSIS   #apple #iphone #iphone12 #iphonemini  https://t.co/V8NU7lFLbt""",b'theage',"['apple', 'iphone', 'iphone12', 'iphonemini']",894540
2020-10-14 05:00:11,"b'\xe2\x99\xa6\xef\xb8\x8fBrandnew iPhone 11 Pro Max 64GB (Space Gray) at 460,000 \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5  #Gadgetfreakzng #Aimgadgetinc #iphone #iphone11promax https://t.co/V7vHwE7dV2'",b'gadgetfreakzng',"['Gadgetfreakzng', 'Aimgadgetinc', 'iphone', 'iphone11promax']",47638
2020-10-14 04:50:46,b'New #Flutter App! \xf0\x9f\x9a\x80 Chinese Idiom Master \xf0\x9f\x99\x8c  #Android #iPhone https://t.co/amxsSIF7lf',b'itsallwidgets',"['Flutter', 'Android', 'iPhone']",5979
2020-10-14 04:37:07,"b'Colorful name, Colorful work, Make your #iPhone look stunning with this #widget enhancer #app  #iOS14 https://t.co/pT5UzShbmu'",b'igeeksblog',"['iPhone', 'widget', 'app', 'iOS14']",8281
2020-10-14 04:37:05,b'Create and design the #Widget the way you like to make your #HomeScreen look gorgeous!  #iOS14 #iPhone #Apple https://t.co/BjN0cFoaJV',b'igeeksblog',"['Widget', 'HomeScreen', 'iOS14', 'iPhone', 'Apple']",8281
2020-10-14 04:36:07,"b'#Apple launches #iPhone 12 line with #5G #speeds, new #screens  https://t.co/ls3OtJJJGG   #bigdata  #AI #IoT #Tech #Data #USA #Linux #UK #javaScript #FinTech #dataScience #dataScientist #WomenWhoCode #Rstats #FemTech #100daysOfCode #FRENCHtech #France #digitalTransformation #WEb'",b'chidambara09',"['Apple', 'iPhone', '5G', 'speeds', 'screens', 'bigdata', 'AI', 'IoT', 'Tech', 'Data', 'USA', 'Linux', 'UK', 'javaScript', 'FinTech', 'dataScience', 'dataScientist', 'WomenWhoCode', 'Rstats', 'FemTech', '100daysOfCode', 'FRENCHtech', 'France', 'digitalTransformation', 'WEb']",7685
2020-10-14 04:35:54,b'I have an #iPhone 7 that does all I need it to. Should I upgrade to #iPhone12Mini?',b'crpietschmann',"['iPhone', 'iPhone12Mini']",6353
2020-10-14 04:34:09,b'| Apple Executives Discuss the New A14 Chip and Apple\xe2\x80\x99s Approach to Chip Design | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/ivQn3xzKyH',b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 04:33:28,b'Oh no! \xf0\x9f\x93\xb1\xe2\x98\xb9\xef\xb8\x8f  #Technology #Tech #iPhone   https://t.co/7HK5Iajz9d',b'moneycontrolcom',"['Technology', 'Tech', 'iPhone']",943231
2020-10-14 04:07:18,"b'Apple unveils iPhone 12 with 5G, HomePod Mini smart speaker  #Apple #iPhone #iPhone12 #5G #QatarDayNews  https://t.co/Fqk3XQYmsn'",b'qatarday',"['Apple', 'iPhone', 'iPhone12', '5G', 'QatarDayNews']",27202
2020-10-14 04:05:06,"b'In a huge 5G leap for smartphones, @Apple has launched #iPhone12Pro  and #iPhone12ProMax  that feature the powerful A14 bionic chip, all-new design with Ceramic Shield, pro camera system, #LiDAR  scanner and the biggest #SuperRetinaXDR display ever on an #iPhone https://t.co/aUJ3vIm3an'",b'ians_india',"['iPhone12Pro', 'iPhone12ProMax', 'LiDAR', 'SuperRetinaXDR', 'iPhone']",57582
2020-10-14 04:04:31,b'#iPhone 8 Wide Screen   #mobiletechnology #innovateeveryday #scienceandtechnology #futurenow https://t.co/cLK7BG4Atg',b'farhadkaiser2',"['iPhone', 'mobiletechnology', 'innovateeveryday', 'scienceandtechnology', 'futurenow']",6754
2020-10-14 04:01:56,"b""Well, the rumours were right all along about the new 'mini' #iPhone. @Apple on October 13 unveiled the generic iPhone 12 model in two sizes.  https://t.co/M9lAmPjxKf""",b'DeccanHerald',['iPhone'],60337
2020-10-14 04:01:13,b'#iPhone fans: Of the new devices which one do you like best? #iPhone12 #iPhone12mini #iPhone12Pro or #iPhone12ProMax?',b'KTNV',"['iPhone', 'iPhone12', 'iPhone12mini', 'iPhone12Pro', 'iPhone12ProMax']",185371
2020-10-14 04:00:00,"b'| Chinese video platforms reportedly axe Apple\xe2\x80\x99s \xe2\x80\x98Hi, Speed\xe2\x80\x99 livestream | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/9l0BBUVlbG'",b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 03:57:06,b'R-sole https://t.co/7XK6cz5uMU http ://www.redbubble.com/people/what-a-shocker \xe2\x80\xa6 #tshirt #iphone #gift #birthday #redbubble',b'ruby_redsky',"['tshirt', 'iphone', 'gift', 'birthday', 'redbubble']",19798
2020-10-14 03:56:10,b'What you have been waiting for has finally happened. The iPhone 11 and iPhone SE are now more affordable after iPhone 12 launch | #iPhone12 #iPhone #iPhone11 #iPhoneSE   https://t.co/7nNcwlCWw1',b'BGRIndia',"['iPhone12', 'iPhone', 'iPhone11', 'iPhoneSE']",216639
2020-10-14 03:52:19,"b'#AppleEvent | iPhone 12 prices in India (starting)  iPhone 12 - Rs. 79,900 iPhone 12 mini - Rs. 69,900 iPhone 12 Pro - Rs. 119,900 iPhone 12 Pro Max - Rs. 129,900   #iPhone12 #iPhone12mini #iPhone #iPhone12Pro #iPhone12ProMax #iPhone11 #iPhoneEvent #Apple   @Apple https://t.co/COjSkgInto'",b'thefirstindia',"['AppleEvent', 'iPhone12', 'iPhone12mini', 'iPhone', 'iPhone12Pro', 'iPhone12ProMax', 'iPhone11', 'iPhoneEvent', 'Apple']",6133
2020-10-14 03:47:30,b'The #iPhone12Pro is coming in four different models.  By @Digitaltrends  #iPhone12ProMax #iPhone #USA #iPhone12mini #innovation  Cc @fogle_shane @baski_LA @archonsec @todddlyle @gvalan @VivekGhosal @CaseyCRL @debraruh @automeme @avrohomg @JolaBurnett @KanezaDiane @digitalcloudgal https://t.co/KEB7cXz4fx',b'Fabriziobustama',"['iPhone12Pro', 'iPhone12ProMax', 'iPhone', 'USA', 'iPhone12mini', 'innovation']",27887
2020-10-14 03:32:20,"b'\xe2\x96\xaa NEW iPHONE 12  Apple unveils iPhone 12, first ever 5G iPhone  #Apple #iPHONE #5G https://t.co/etDdN2JoPL'",b'arirangtvnews',"['Apple', 'iPHONE', '5G']",8654
2020-10-14 03:31:58,"b'Apple launches four 5G iPhones: Here is how much iPhone 12, 12 Mini, 12 Pro and 12 Pro Max will cost in India #AppleEvent #iPhone12 #iPhone   https://t.co/8YFJGKX0OJ'",b'fpjindia',"['AppleEvent', 'iPhone12', 'iPhone']",19473
2020-10-14 03:27:40,"b'| Best Prime Day Apple deals: $850 MacBook Air, $199 AirPods Pro and more | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/bnsncSjaWK'",b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 03:26:22,"b'#InPics: Apple launches iPhone 12 series, HomePod  #AppleEvent #iPhone #iPhone12 #iPhone12ProMax  #iPhone12Pro #iPhone12mini   https://t.co/Z7WrzTsXWz'",b'ZeeNewsEnglish',"['InPics', 'AppleEvent', 'iPhone', 'iPhone12', 'iPhone12ProMax', 'iPhone12Pro', 'iPhone12mini']",5281798
2020-10-14 03:15:00,b'#iPhone12 is here and so are the memes!   #iPhone   https://t.co/eu3cj12Skr',b'JagranEnglish',"['iPhone12', 'iPhone']",7187
2020-10-14 03:08:44,b'#Digital #Mobile Wall #296 - Multiple Formats  Download: https://t.co/7PINcQMOmz  Digital Wall Archive: https://t.co/fOVYnztrG9  Enjoy!  #homescreen #android #ios #iphone #iphonex #apple #lockscreen #google #wallpaper #wallpapers #ios14 https://t.co/LKfoy5ArdF',b'wallsbyjfl',"['Digital', 'Mobile', 'homescreen', 'android', 'ios', 'iphone', 'iphonex', 'apple', 'lockscreen', 'google', 'wallpaper', 'wallpapers', 'ios14']",12024
2020-10-14 03:07:08,"b""Who's getting the new iPhone 12?  #Apple #iPhone https://t.co/q7hgNhTSXr""",b'andrewbermudez',"['Apple', 'iPhone']",17611
2020-10-14 03:07:07,"b'#Apple launches four new #iPhone 12 models: Price, specs and more https://t.co/L6RzhVZT2i via @gadgetsnow    #AppleEvent'",b'timesofindia',"['Apple', 'iPhone', 'AppleEvent']",13181493
2020-10-14 03:03:16,"b""Here's exciting new #iPhone news from the #AppleEvent - including sizes, pricing, and other features. https://t.co/QHLGfYLbp1""",b'CCTV_Plus',"['iPhone', 'AppleEvent']",28027
2020-10-14 02:59:35,b'Mosquito about to attack human who finally found out moments before impact the human bean was an #iPhone 12 owner:- https://t.co/Twpa82XoUN',b'DavidFeng',['iPhone'],7638
2020-10-14 02:56:48,"b'| Beats Flex replaces BeatsX for $49 with USB-C charging, longer battery life, Apple W1 chip | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/WBly2HlDQk'",b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 02:47:27,b'This is so niceeee #iphone #iphone12 https://t.co/e2ja88zhpr',b'PxssibleKookie',"['iphone', 'iphone12']",8570
2020-10-14 02:45:00,"b'Here\xe2\x80\x99s how much iPhone 12, iPhone 12 Pro, iPhone 12 Pro Max and iPhone 12 Mini will cost you in India   #iPhone #iPhone12ProMax  https://t.co/j087Yu7d6n'",b'JagranEnglish',"['iPhone', 'iPhone12ProMax']",7187
2020-10-14 02:37:12,"b'If you missed it, here\xe2\x80\x99s everything Apple announced today:  #iPhone #iPhone12 #Technology #Tech #SmartSpeaker #SmartHome #5G #InternetOfThings #IoT #EmergingTech #AppleEvent https://t.co/EkdpVJuu0n'",b'StephTweetChat',"['iPhone', 'iPhone12', 'Technology', 'Tech', 'SmartSpeaker', 'SmartHome', '5G', 'InternetOfThings', 'IoT', 'EmergingTech', 'AppleEvent']",8218
2020-10-14 02:32:10,"b'#Apple launches four new #iPhone 12 models: Price, specs and more https://t.co/EAnSGnWfCC via @timesofindia'",b'ashokpanvalkar',"['Apple', 'iPhone']",17002
2020-10-14 02:31:44,b'#mobilesecurity | #android | #iphone | Imperva\xe2\x80\x99s Mobile Security App \xe2\x80\x93 Security\xc2\xa0Boulevard https://t.co/oLTt5X7yvO',b'NcsVentures',"['mobilesecurity', 'android', 'iphone']",6343
2020-10-14 02:27:44,"b'Apple Inc on Tuesday launched its next-generation iPhone 12, with faster 5G connectivity. The core of the line-up, the iPhone 12 with a 6.1-inch display, will sell for $799. #Apple #iPhone #5G https://t.co/VnZveKADZw'",b'ChinaDaily',"['Apple', 'iPhone', '5G']",4369206
2020-10-14 02:25:38,b'| iPhone 12 and iPhone 12 mini | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/haRQEMgmGu',b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 02:00:18,b'#mobilesecurity | #android | #iphone | Can Entrepreneurs Make Mobile Voting Easy and\xc2\xa0Secure? https://t.co/nryyoXEXdO',b'NcsVentures',"['mobilesecurity', 'android', 'iphone']",6343
2020-10-14 01:52:35,"b'Apple iPhone 12, iPhone 12 Mini, iPhone 12 Pro: Price, Specs, Release Date https://t.co/WOWt3ybxi2 #Gear/GearNewsandEvents #iPhone #apple'",b'DataAugmented',"['Gear', 'iPhone', 'apple']",5430
2020-10-14 01:52:15,b'| Apple unveils four new iPhone 12 models with 5G: CNBC After Hours | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/Y5RvdJgJN5',b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 01:50:23,b'Will you upgrade your current #iPhone to #iPhone12?',b'vicconsult',"['iPhone', 'iPhone12']",36051
2020-10-14 01:22:58,"b'#AppleEvent #Apple #iPhone #IPhone12 #iPhone12Pro --  Apple Event 10 October 2020 Recap, iPhone 12 Pro Tech Specs  Read More: https://t.co/J6Qx5LvnV6 https://t.co/ofawHmnJpM'",b'tamtomo2',"['AppleEvent', 'Apple', 'iPhone', 'IPhone12', 'iPhone12Pro']",6402
2020-10-14 01:22:55,"b'Tech alert! @Apple \xe2\x80\x98s new lineup includes its thinnest, fasted and most advanced #iphone ever. Details on @News8 at 7 right after the @BuffaloBills @Titans game. https://t.co/D0nL4bNFky'",b'BarbaraLeeNews8',['iphone'],5959
2020-10-14 01:21:39,b'| Apple quietly kills off urBeats 3 after releasing Beats Flex | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/xWllTAPIyK',b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
2020-10-14 01:19:51,b'#iPhone12 #iPhone12Pro #iPhone #Apple #AppleEvent - Apple Event 10 October 2020 Rekap: iPhone 12 Pro Tech Specs   Red More: https://t.co/8kHQdl3wyG https://t.co/Kq3bV4risj',b'PC_holic',"['iPhone12', 'iPhone12Pro', 'iPhone', 'Apple', 'AppleEvent']",6545
2020-10-14 01:18:45,"b'I, for one, am very excited that the newest #iPhone is the ""best #iPhone we\'ve ever made!""'",b'thebitcoinrabbi',"['iPhone', 'iPhone']",10048
2020-10-14 01:18:41,"b'Well, this helps me relax after a busy day covering the #iphone launch and get me pumped up for the premiere of #startrekdiscovery @ New York, New York https://t.co/ijR7HDCIIZ'",b'RogerWCheng',"['iphone', 'startrekdiscovery']",22464
2020-10-14 01:08:00,"b""Here's all of today's exciting new #iPhone news from the #AppleEvent - including sizes, pricing, and other features. https://t.co/p8DlSLSJwf""",b'cgtnamerica',"['iPhone', 'AppleEvent']",289436
2020-10-14 01:05:24,"b'One of my last beach days of the season. A day spent enjoying the sun, sand, the last of the warm temperatures before the cold set in and the camera on my new phone! #iPhone #beachday #endofsummer #roadtrip #staycation https://t.co/QMhZUbKJwI'",b'Andrea___Grace',"['iPhone', 'beachday', 'endofsummer', 'roadtrip', 'staycation']",13237
2020-10-14 01:05:04,"b'Hahahaha Sheiky baby, Apple need to get you a good #iPhone before they get humbled old country way \xf0\x9f\x92\xaf\xf0\x9f\x92\xaf https://t.co/bN9l4AeTfH'",b'Fatboy933',['iPhone'],6804
2020-10-14 01:02:46,b'#Apple activates #iPhone Upgrade Program pre-approval process for #iPhone12 https://t.co/9dQ3vUsHqB https://t.co/XwkGHi1NBS',b'appleinsider',"['Apple', 'iPhone', 'iPhone12']",517569
2020-10-14 01:02:32,"b""If you don't need Pro features, #Apple's #iPhone12 and #iPhone 12 Mini are great options. #gadgets #technology $AAPL https://t.co/1AeeYgb8BD""",b'techeblog',"['Apple', 'iPhone12', 'iPhone', 'gadgets', 'technology']",47385
2020-10-14 01:02:17,"b'#NSTlifestyle ""Today is the beginning of a new era for #iPhone,"" #Apple chief executive #TimCook said.    https://t.co/5sDplOj8fs  #Apple12'",b'NST_Online',"['NSTlifestyle', 'iPhone', 'Apple', 'TimCook', 'Apple12']",723960
2020-10-14 01:02:04,"b'#iPhone12 #iPhone12Pro #iPhone #Apple #AppleEvent -- Four finishing touches for iPhone 12 Pro, Pacific Blue, Gold, Silver, and Graphite   Read More: https://t.co/9feuEvqxgd https://t.co/pUyOvacJ7j'",b'PC_holic',"['iPhone12', 'iPhone12Pro', 'iPhone', 'Apple', 'AppleEvent']",6545
2020-10-14 00:59:00,b'A developer created a smart #mirror that mimics your #iPhone screen  @Apple #AppleMirror  https://t.co/kFgAF3GcZP https://t.co/BRHZ6IIIcA',b'worldnewsdotcom',"['mirror', 'iPhone', 'AppleMirror']",20550
2020-10-14 00:58:06,"b'Photos: Wireless chargers for the iPhone, AirPods and the Apple Watch, by @Teena_Maddox  #Apple, #AppleEvent, #iPhone, #iPhone12 https://t.co/QKaQ7Hg2Uo For more on Smartphones and Mobile Tech, check out our Flipboard magazine, https://t.co/dasF86OCjO https://t.co/OsA5X70PkP'",b'TechRepublic',"['Apple', 'AppleEvent', 'iPhone', 'iPhone12']",228386
2020-10-14 00:52:02,"b'#mobilesecurity | #android | #iphone | October Patch Tuesday fixes 87 vulnerabilities, 6 of them publicly\xc2\xa0disclosed https://t.co/mar8PcHpYM'",b'NcsVentures',"['mobilesecurity', 'android', 'iphone']",6343
2020-10-14 00:50:54,b'| Apple\xe2\x80\x99s new HomePod \xe2\x80\x98Intercom\xe2\x80\x99 feature works with CarPlay | #iphone | #ios |\xc2\xa0#mobilesecurity https://t.co/G9leYPNK4h',b'NcsVentures',"['iphone', 'ios', 'mobilesecurity']",6343
